Название,Цена,Изменение,Общая капитализация
COTI,$0.126,-1.33%,"$139,726,625"
Dogelon Mars,$0.0000002528,+0.12%,"$138,448,141"
Pundi X (New),$0.5086,-5.31%,"$131,462,169"
DAO Maker,$1.41,+2.17%,"$129,979,160"
Ren,$0.1281,-1.85%,"$128,001,543"
Civic,$0.1279,+0.36%,"$127,869,136"
Velas,$0.05372,-1.49%,"$126,721,755"
Nervos Network,$0.003767,+2.31%,"$125,606,180"
Render Token,$0.4896,+3.89%,"$124,267,879"
Lisk,$0.9631,+0.22%,"$124,139,374"
Keep Network,$0.1436,-0.06%,"$123,572,392"
MediBloc,$0.01937,+0.58%,"$120,519,513"
Energy Web Token,$3.95,-1.01%,"$118,655,571"
CEEK VR,$0.1456,-0.05%,"$117,280,169"
Bitcoin Standard Hashrate Token,$9.47,-6.73%,"$115,571,990"
ConstitutionDAO,$0.0222,+1.70%,"$112,357,196"
Syscoin,$0.1695,-1.00%,"$112,200,358"
Celer Network,$0.01553,+1.21%,"$110,046,605"
Constellation,$0.0855,+1.00%,"$108,322,469"
NuCypher,$0.1521,+0.98%,"$106,917,949"
Nano,$0.7993,-0.44%,"$106,506,464"
Request,$0.1056,+0.51%,"$105,568,632"
Ontology Gas,$0.3285,-0.34%,"$105,277,181"
Spell Token,$0.00101,+0.94%,"$103,591,745"
Ultra,$0.3388,+1.08%,"$102,917,504"
iExec RLC,$1.26,+1.94%,"$101,946,306"
Orbs,$0.03524,+0.27%,"$101,379,240"
Vulcan Forged PYR,$4.20,-2.34%,"$100,356,922"
WINkLink,$0.0001039,-2.33%,"$99,916,080"
Function X,$0.2424,-0.67%,"$99,006,477"
Tribe,$0.2178,-0.60%,"$98,777,168"
Status,$0.02844,-0.28%,"$98,683,371"
Acala Token,$0.1854,+3.59%,"$98,137,239"
Numeraire,$16.56,-13.41%,"$97,510,290"
Ardor,$0.09733,-0.58%,"$97,231,096"
Reef,$0.004777,+1.72%,"$96,449,181"
API3,$1.70,+1.31%,"$96,320,495"
Ocean Protocol,$0.1547,+1.39%,"$94,832,733"
Powerledger,$0.1947,+0.65%,"$94,498,251"
Prom,$5.73,-0.63%,"$94,198,257"
Dent,$0.0009316,+0.99%,"$92,236,421"
MX TOKEN,$0.9193,+0.46%,"$91,926,171"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,257.47",-0.83%,"$388,341,946,444"
Ethereum,"$1,359.50",-0.69%,"$166,765,269,298"
Tether,$1.00,+0.00%,"$68,069,861,219"
BNB,$294.35,+0.47%,"$47,490,317,313"
USD Coin,$1.00,-0.01%,"$46,515,019,923"
XRP,$0.4944,-2.39%,"$24,651,139,946"
Binance USD,$1.00,-0.07%,"$21,058,729,170"
Cardano,$0.4324,+0.29%,"$14,813,255,617"
Solana,$34.12,-0.06%,"$12,119,942,904"
Dogecoin,$0.06502,-1.57%,"$8,625,713,201"
Polygon,$0.8495,-1.68%,"$7,420,172,814"
Polkadot,$6.40,+0.92%,"$7,185,361,526"
Dai,$0.9995,+0.03%,"$6,812,657,072"
Shiba Inu,$0.00001144,-0.09%,"$6,279,679,953"
TRON,$0.06251,-0.68%,"$5,771,608,712"
Uniswap,$6.76,-0.95%,"$5,153,813,041"
Avalanche,$17.33,+0.25%,"$5,130,914,621"
Wrapped Bitcoin,"$20,253.37",-0.86%,"$4,959,168,860"
UNUS SED LEO,$4.22,-1.23%,"$4,025,564,929"
Litecoin,$54.78,-0.01%,"$3,906,808,320"
Chainlink,$7.90,-2.12%,"$3,882,144,835"
Ethereum Classic,$27.69,-0.02%,"$3,800,188,221"
Cosmos,$12.91,+1.03%,"$3,696,203,300"
FTX Token,$24.90,+0.17%,"$3,336,499,485"
Stellar,$0.1199,+0.66%,"$3,056,795,016"
NEAR Protocol,$3.71,-3.14%,"$2,972,053,263"
Cronos,$0.1107,+0.03%,"$2,795,573,155"
Monero,$146.85,-0.90%,"$2,670,292,213"
Algorand,$0.3526,+0.91%,"$2,473,367,146"
Bitcoin Cash,$123.00,-1.23%,"$2,360,695,983"
Terra Classic,$0.0002989,+3.24%,"$1,838,859,552"
Flow,$1.69,+0.98%,"$1,753,473,929"
VeChain,$0.02394,+0.65%,"$1,735,740,462"
Toncoin,$1.42,-1.20%,"$1,733,878,747"
Quant,$138.09,+3.05%,"$1,667,150,173"
Filecoin,$5.59,-0.15%,"$1,643,794,006"
ApeCoin,$5.21,+1.14%,"$1,599,641,675"
Internet Computer,$6.03,+1.48%,"$1,582,696,524"
Hedera,$0.05804,+0.37%,"$1,333,186,472"
Decentraland,$0.706,-0.81%,"$1,309,766,410"
Tezos,$1.43,+1.61%,"$1,304,094,097"
The Sandbox,$0.866,-2.31%,"$1,298,505,395"
Chiliz,$0.2162,+1.01%,"$1,297,166,843"
Elrond,$54.88,+2.05%,"$1,290,662,278"
EOS,$1.18,+2.02%,"$1,180,475,019"
Aave,$78.33,+0.25%,"$1,103,989,818"
Theta Network,$1.08,-0.48%,"$1,081,259,234"
Axie Infinity,$12.81,+0.15%,"$1,063,807,566"
Bitcoin SV,$49.49,-1.25%,"$949,668,420"
Pax Dollar,$1.00,+0.16%,"$946,305,770"
OKB,$15.61,+0.58%,"$936,824,658"
KuCoin Token,$9.15,+0.31%,"$900,128,265"
TrueUSD,$1.00,-0.06%,"$891,444,097"
Zcash,$56.97,-0.43%,"$878,131,736"
Maker,$839.39,+1.22%,"$820,611,839"
eCash,$0.00004234,-0.84%,"$812,554,030"
USDD,$1.00,-0.07%,"$786,885,039"
IOTA,$0.2748,+2.01%,"$763,920,630"
BitTorrent-New,$0.0000007942,-0.68%,"$748,698,709"
Helium,$5.66,-7.54%,"$722,976,191"
The Graph,$0.0997,+0.70%,"$687,929,333"
Neutrino USD,$0.9727,+0.24%,"$661,713,970"
PancakeSwap,$4.70,+1.69%,"$654,626,644"
Huobi Token,$4.12,-1.27%,"$631,750,049"
Neo,$8.72,+2.17%,"$615,281,893"
Klaytn,$0.1895,+0.48%,"$579,477,348"
Fantom,$0.2257,+0.85%,"$574,281,611"
PAX Gold,"$1,708.69",+0.44%,"$555,681,104"
Synthetix,$2.32,+0.74%,"$553,241,403"
THORChain,$1.65,-0.69%,"$545,911,293"
Nexo,$0.8958,+0.16%,"$501,649,189"
Curve DAO Token,$0.9053,+0.25%,"$481,265,451"
GateToken,$4.43,-1.28%,"$479,200,673"
Lido DAO,$1.53,+2.51%,"$477,518,154"
Dash,$42.24,-0.34%,"$462,268,936"
Basic Attention Token,$0.3053,+0.78%,"$456,687,926"
Enjin Coin,$0.453,+0.78%,"$453,031,563"
Stacks,$0.3272,-0.04%,"$437,533,239"
Kava,$1.55,-0.67%,"$435,792,296"
Compound,$59.35,+1.09%,"$431,302,189"
Fei USD,$1.00,-1.53%,"$426,214,996"
Zilliqa,$0.03149,+1.10%,"$421,229,675"
Waves,$3.82,+0.62%,"$418,056,382"
Mina,$0.5937,+0.13%,"$414,271,836"
Ravencoin,$0.03453,+2.92%,"$405,427,837"
Reserve Rights,$0.009327,-0.27%,"$394,556,166"
Loopring,$0.2947,+1.24%,"$392,048,806"
Trust Wallet Token,$0.9409,-3.35%,"$392,024,725"
Decred,$26.63,-0.56%,"$383,497,936"
Convex Finance,$5.61,-4.66%,"$379,701,187"
XDC Network,$0.03055,+2.29%,"$375,919,278"
NEM,$0.04165,-0.86%,"$374,812,816"
STEPN,$0.6253,+0.09%,"$375,209,626"
Kusama,$43.17,+0.97%,"$365,626,234"
Celo,$0.7792,+0.76%,"$364,597,703"
Bitcoin Gold,$20.49,+0.86%,"$358,896,671"
Holo,$0.002031,-0.29%,"$352,129,819"
Ethereum Name Service,$17.30,-7.49%,"$350,332,980"
1inch Network,$0.5826,+0.20%,"$340,181,173"
Terra,$2.55,-1.39%,"$324,497,208"
Celsius,$1.36,+0.93%,"$323,704,407"
BinaryX,$156.88,-1.09%,"$317,360,416"
Arweave,$9.49,+1.30%,"$316,780,764"
yearn.finance,"$8,309.78",-0.58%,"$304,451,223"
Oasis Network,$0.06045,+1.17%,"$303,894,702"
Gemini Dollar,$0.9973,+0.30%,"$300,669,320"
Qtum,$2.88,+0.60%,"$300,546,667"
Ankr,$0.03099,-0.53%,"$299,432,948"
Gnosis,$115.94,+4.29%,"$299,089,207"
TerraClassicUSD,$0.03033,+2.80%,"$297,709,675"
Gala,$0.04117,+0.27%,"$287,245,549"
Kadena,$1.41,-0.42%,"$279,212,326"
Theta Fuel,$0.05232,-0.07%,"$277,339,906"
IoTeX,$0.02826,+0.90%,"$269,668,181"
Braintrust,$2.18,+2.61%,"$266,507,226"
Golem,$0.2643,+0.04%,"$264,325,320"
Harmony,$0.01974,+1.34%,"$249,774,904"
OMG Network,$1.72,+1.09%,"$240,961,975"
Polymath,$0.252,+2.10%,"$233,057,444"
Flux,$0.8246,+3.39%,"$229,152,015"
Livepeer,$9.21,+3.79%,"$228,367,836"
0x,$0.2689,+0.52%,"$227,872,416"
Balancer,$5.19,+0.21%,"$227,436,671"
Hive,$0.5062,-0.71%,"$225,389,358"
JUST,$0.02529,+1.11%,"$225,106,603"
IOST,$0.01189,+0.79%,"$221,031,380"
BORA,$0.237,+0.42%,"$219,828,500"
ICON,$0.2387,+0.59%,"$219,443,328"
Amp,$0.005109,-0.67%,"$215,732,233"
Symbol,$0.03733,+2.01%,"$208,372,838"
Serum,$0.7855,+0.41%,"$206,787,529"
Kyber Network Crystal v2,$1.15,+0.25%,"$204,858,550"
Optimism,$0.8571,+1.58%,"$201,192,598"
Ontology,$0.2261,+0.60%,"$197,936,001"
SwissBorg,$0.1963,-4.93%,"$196,251,635"
WAX,$0.08562,+1.38%,"$187,431,714"
Storj,$0.4539,+0.58%,"$187,444,643"
Immutable X,$0.7941,-0.44%,"$186,835,395"
Moonbeam,$0.468,-0.06%,"$186,245,529"
Siacoin,$0.00351,+0.26%,"$183,301,583"
Chia,$34.69,-1.78%,"$183,154,355"
Casper,$0.02991,+1.69%,"$182,484,146"
MXC,$0.06835,-0.06%,"$180,581,387"
Horizen,$13.95,+1.97%,"$179,927,265"
SXP,$0.3582,+0.58%,"$178,996,733"
Audius,$0.2142,+2.74%,"$177,944,600"
WOO Network,$0.1403,+2.64%,"$161,946,692"
Smooth Love Potion,$0.003771,-13.82%,"$161,919,283"
ABBC Coin,$0.1581,+0.69%,"$161,294,089"
UMA,$2.36,-2.21%,"$162,529,798"
SKALE Network,$0.03906,+0.95%,"$155,760,082"
SushiSwap,$1.21,-5.93%,"$153,558,624"
PlayDapp,$0.3152,+0.36%,"$153,884,988"
Voyager Token,$0.5481,+0.65%,"$152,626,503"
Secret,$0.9332,+1.65%,"$152,393,364"
DigiByte,$0.009601,+1.41%,"$150,721,936"
APENFT,$0.0000005377,-2.05%,"$148,991,624"
Injective,$1.94,-5.81%,"$141,759,237"
COTI,$0.1257,-1.32%,"$139,400,641"
Dogelon Mars,$0.0000002531,-0.35%,"$138,604,889"
Pundi X (New),$0.5088,-5.48%,"$131,519,554"
DAO Maker,$1.41,+2.39%,"$129,723,414"
Ren,$0.1294,-3.24%,"$129,312,400"
Civic,$0.1282,+0.30%,"$128,160,958"
Velas,$0.05374,+0.53%,"$126,776,011"
Nervos Network,$0.003778,+1.82%,"$125,944,892"
Render Token,$0.4939,+3.28%,"$125,363,709"
Lisk,$0.9671,-0.21%,"$124,654,543"
Keep Network,$0.1433,-0.12%,"$123,335,945"
MediBloc,$0.01939,+0.96%,"$120,648,008"
Energy Web Token,$3.95,-1.16%,"$118,750,685"
CEEK VR,$0.1466,+1.08%,"$118,082,684"
Bitcoin Standard Hashrate Token,$9.53,-7.32%,"$116,236,389"
ConstitutionDAO,$0.02234,+1.16%,"$113,032,635"
Syscoin,$0.17,-0.32%,"$112,584,304"
Celer Network,$0.01559,+0.95%,"$110,443,178"
Constellation,$0.0853,+0.87%,"$108,061,372"
Nano,$0.8075,-1.36%,"$107,598,207"
NuCypher,$0.1523,+0.65%,"$107,038,894"
Request,$0.1057,+0.56%,"$105,704,849"
Ontology Gas,$0.329,-0.42%,"$105,441,531"
Spell Token,$0.001014,+0.50%,"$104,046,963"
Ultra,$0.3384,+1.10%,"$102,790,737"
iExec RLC,$1.27,+1.83%,"$102,487,204"
Orbs,$0.03533,+0.23%,"$101,632,614"
Vulcan Forged PYR,$4.22,-3.01%,"$100,955,885"
WINkLink,$0.0001039,-2.12%,"$99,907,138"
Function X,$0.2431,-1.01%,"$99,325,435"
Tribe,$0.2183,-0.74%,"$98,997,810"
Status,$0.02846,-0.31%,"$98,775,484"
Numeraire,$16.65,-13.93%,"$98,054,010"
Acala Token,$0.1853,+3.43%,"$98,052,473"
Ardor,$0.0975,-0.45%,"$97,405,150"
Reef,$0.004783,+1.65%,"$96,571,017"
API3,$1.71,+1.57%,"$96,452,975"
Ocean Protocol,$0.1551,+1.18%,"$95,120,310"
Powerledger,$0.1953,+0.32%,"$94,797,657"
Prom,$5.76,-1.14%,"$94,714,354"
Dent,$0.0009327,+0.95%,"$92,340,675"
MX TOKEN,$0.9216,+0.34%,"$92,156,536"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,229.16",-0.76%,"$387,799,161,326"
Ethereum,"$1,356.54",-0.59%,"$166,402,082,758"
Tether,$1.00,+0.01%,"$68,070,008,669"
BNB,$293.89,+0.47%,"$47,415,919,411"
USD Coin,$1.00,-0.00%,"$46,514,453,645"
XRP,$0.4939,-2.80%,"$24,626,342,891"
Binance USD,$1.00,+0.01%,"$21,045,664,345"
Cardano,$0.4316,+0.48%,"$14,785,258,758"
Solana,$34.17,-0.55%,"$12,136,694,769"
Dogecoin,$0.06506,-1.06%,"$8,631,445,956"
Polygon,$0.8486,-1.86%,"$7,411,650,970"
Polkadot,$6.40,+0.92%,"$7,185,361,526"
Dai,$0.9999,+0.01%,"$6,815,103,723"
Shiba Inu,$0.00001142,-0.04%,"$6,269,230,362"
TRON,$0.06252,-0.70%,"$5,772,456,654"
Uniswap,$6.75,-1.04%,"$5,146,851,360"
Avalanche,$17.33,+0.00%,"$5,131,644,012"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.22,-1.40%,"$4,025,326,011"
Litecoin,$54.70,-0.00%,"$3,901,127,829"
Chainlink,$7.89,-2.13%,"$3,877,098,392"
Ethereum Classic,$27.63,+0.11%,"$3,790,883,419"
Cosmos,$12.91,+1.03%,"$3,696,203,300"
FTX Token,$24.86,+0.27%,"$3,331,026,947"
Stellar,$0.1197,+0.56%,"$3,052,897,296"
NEAR Protocol,$3.71,-3.46%,"$2,976,122,316"
Cronos,$0.1105,+0.03%,"$2,790,488,543"
Monero,$146.67,-0.86%,"$2,666,896,837"
Algorand,$0.3521,+0.91%,"$2,470,237,272"
Bitcoin Cash,$122.82,-1.12%,"$2,357,223,274"
Terra Classic,$0.0002989,+3.24%,"$1,838,859,552"
Flow,$1.69,+1.05%,"$1,749,545,425"
Toncoin,$1.42,-1.25%,"$1,734,534,730"
VeChain,$0.02385,+0.62%,"$1,729,099,552"
Quant,$137.98,+2.66%,"$1,665,854,340"
Filecoin,$5.59,-0.16%,"$1,641,793,284"
ApeCoin,$5.21,+1.12%,"$1,598,290,006"
Internet Computer,$6.02,+1.50%,"$1,579,489,202"
Hedera,$0.05796,+0.39%,"$1,331,308,576"
Decentraland,$0.7057,-0.84%,"$1,309,156,230"
Tezos,$1.43,+1.54%,"$1,303,109,688"
The Sandbox,$0.8656,-2.38%,"$1,297,883,954"
Chiliz,$0.2161,+0.88%,"$1,296,571,423"
Elrond,$54.82,+2.08%,"$1,289,244,337"
EOS,$1.18,+1.93%,"$1,178,188,171"
Aave,$78.32,+0.12%,"$1,103,748,807"
Theta Network,$1.08,-0.58%,"$1,080,389,874"
Axie Infinity,$12.79,+0.11%,"$1,061,944,442"
Bitcoin SV,$49.47,-1.25%,"$949,166,391"
Pax Dollar,$1.00,+0.40%,"$945,889,568"
OKB,$15.60,+0.55%,"$936,250,831"
KuCoin Token,$9.12,+0.35%,"$897,304,372"
TrueUSD,$1.00,+0.01%,"$891,007,374"
Zcash,$56.86,-0.42%,"$876,487,802"
Maker,$837.92,+1.35%,"$819,174,572"
eCash,$0.00004228,-0.73%,"$811,386,848"
USDD,$1.00,-0.04%,"$786,873,641"
IOTA,$0.2748,+1.90%,"$763,721,372"
BitTorrent-New,$0.0000007937,-0.72%,"$748,182,471"
Helium,$5.67,-8.37%,"$723,964,896"
The Graph,$0.09956,+0.73%,"$686,959,695"
Neutrino USD,$0.9727,+0.24%,"$661,713,970"
PancakeSwap,$4.70,+1.64%,"$654,989,808"
Huobi Token,$4.11,-1.04%,"$630,571,855"
Neo,$8.70,+2.27%,"$613,781,375"
Klaytn,$0.1892,+0.62%,"$578,607,355"
Fantom,$0.2257,+0.85%,"$574,281,611"
PAX Gold,"$1,708.98",+0.44%,"$555,777,123"
Synthetix,$2.32,+0.77%,"$552,492,201"
THORChain,$1.65,-1.11%,"$545,453,512"
Nexo,$0.8938,+0.20%,"$500,510,513"
Curve DAO Token,$0.9035,+0.48%,"$480,267,616"
GateToken,$4.42,-1.17%,"$478,577,967"
Lido DAO,$1.53,+2.26%,"$477,849,498"
Dash,$42.16,-0.32%,"$461,468,376"
Basic Attention Token,$0.3048,+0.81%,"$455,929,894"
Enjin Coin,$0.4525,+0.83%,"$452,452,350"
Stacks,$0.3269,-0.05%,"$437,245,832"
Kava,$1.56,-0.69%,"$436,123,624"
Compound,$59.28,+1.11%,"$430,790,296"
Fei USD,$1.00,-1.53%,"$426,214,996"
Zilliqa,$0.03153,+0.85%,"$421,653,171"
Waves,$3.82,+0.57%,"$418,060,173"
Mina,$0.5926,-0.02%,"$413,490,248"
Ravencoin,$0.0345,+2.85%,"$405,091,929"
Reserve Rights,$0.009245,+0.57%,"$391,104,476"
Trust Wallet Token,$0.9406,-3.40%,"$391,907,159"
Loopring,$0.2946,+1.18%,"$391,792,773"
Decred,$26.65,-0.96%,"$383,770,958"
Convex Finance,$5.60,-4.64%,"$379,087,448"
XDC Network,$0.03054,+2.38%,"$375,767,764"
NEM,$0.04166,-0.90%,"$374,973,978"
STEPN,$0.6239,+0.20%,"$374,334,218"
Kusama,$43.08,+1.04%,"$364,858,110"
Celo,$0.7777,+0.81%,"$363,894,532"
Bitcoin Gold,$20.49,+0.70%,"$358,929,918"
Holo,$0.002027,-0.17%,"$351,372,767"
Ethereum Name Service,$17.22,-7.17%,"$348,547,689"
1inch Network,$0.5825,+0.17%,"$340,101,430"
Terra,$2.54,-1.12%,"$323,871,177"
Celsius,$1.36,+0.83%,"$323,698,016"
BinaryX,$156.88,-1.15%,"$317,346,569"
Arweave,$9.50,+1.05%,"$317,239,757"
yearn.finance,"$8,318.74",-0.68%,"$304,779,819"
Oasis Network,$0.06043,+1.10%,"$303,786,116"
Gemini Dollar,$0.9951,+0.32%,"$299,993,643"
Qtum,$2.88,+0.56%,"$300,355,208"
Ankr,$0.03093,-0.42%,"$298,909,486"
Gnosis,$115.94,+4.29%,"$299,089,207"
TerraClassicUSD,$0.03031,+3.29%,"$297,525,350"
Gala,$0.0411,+0.26%,"$286,781,427"
Kadena,$1.41,-0.39%,"$278,770,715"
