Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность дней
Популярное,Общий анализ мочи,Моча,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний.",490,1
Популярное,Общий бета-ХГЧ,Сыворотка,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток.",790,1
Популярное,СОЭ (ESR),Кровь с EDTA,"Неспецифический показатель воспаления, показывает скорость оседания эритроцитов.",259,1
Популярное,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2490,1
Популярное,Тиреотропный гормон (ТТГ),Сыворотка,"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом.",590,1
Популярное,Тироксин (Т4) свободный,Сыворотка,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ.",590,1
Популярное,Триглицериды,Сыворотка,"Жиры - один из основных источников энергии для клеток организма. Часть триглицеридов находится в крови.
Повышение их уровня увеличивает риск заболевания сердца и сосудов, а также риск развития острого панкреатита.",290,1
Популярное,Ферритин,Сыворотка,"Ферритин — основной белок, который депонирует железо, и служит индикатором запасов железа в организме.",690,1
Популярное,Фибриноген,Кровь с цитратом,"Фибриноген - растворённый в плазме бесцветный белок, вырабатываемый печенью. При активации системы свёртывания крови подвергается ферментативному расщеплению ферментом тромбином. Образующийся фибрин - основа сгустка при свертывании крови.",390,1
Популярное,Холестерин ЛПВП,Сыворотка,"Холестерол (холестерин) - это органическое соединение, природный полициклический липофильный спирт, содержащийся в клеточных мембранах (крови) всех животных и человека. Играет важную роль в строительстве клеточных мембран, выработке витамина D, жирных кислот и гормонов (стероидных: кортизол, альдостерон, половых: эстрогены, прогестерон, тестостерон).
Уровень холестерола может повышаться или снижаться в течение небольшого помежутка времени - эти изменения метаболизма ЛПВП в организме являются нормальными и называются биологческой вариацией. Поэтому иногда может потребоваться сдать анализ повторно.",390,1
Популярное,Холестерин ЛПНП,Сыворотка,"Липопротеины низкой плотности – основные переносчики холестерола (холестерина) в организме.
Холестерол, входящий в их состав, считается ""вредным"", так как при его избытке повышается риск появления в артериях бляшек, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",390,1
Популярное,Холестерин общий,Сыворотка,"Холестерол общий (холестерин) – жироподобное вещество, необходимое организму для нормального функционирования клеток, переваривания пищи, создания многих гормонов. При избытке холестерина увеличивается риск появления бляшек в артериях, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",290,1
COVID,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1990,1
COVID,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2490,1
COVID,"Антитела IgG к коронавирусу SARS CoV-2, спайковый (S) белок (после вакцинации или перенесенного COVID-19), полуколич.",Сыворотка крови,"Анализ крови на антитела к возбудителю COVID 19 выполняется для оценки иммунного ответа на текущую или перенесенную инфекцию. Выявление IgG к спайковому (S) белку позволяет судить о наличии защитного иммунитета, который может сформироваться как после перенесенного заболевания, так и после вакцинации.",1290,1
COVID,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",Кровь,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1490,1
COVID,"Антитела к коронавирусу SARS-Cov-2, IgG, количественный",Кровь,"Анализ крови на антитела IgG к вирусу SARS-CoV-2 – исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgG-антитела начинают появляются в крови в острой стадии инфекционного процесса, но максимальная их выработка происходит обычно через 10-14 дней после перенесенной инфекции. Выявление IgG-антител к SARS-CoV-2 свидетельствует, что человек выздоравливает или уже переболел коронавирусной инфекцией.",1390,1
COVID,Т-клеточный иммунитет к COVID-19,Кровь,"Анализ крови на Т-клеточный иммунитет к COVID-19 показывает есть ли у Вас стойкая защита от коронавируса. Т-клеточный иммунитет является долгосрочным, в отличие от гуморального, при котором у вас в крови выявляются антитела IgG. T-клетки живут в организме намного дольше и отбеспечивают надежную защиту от заражения COVID-19.",14990,3
Чекапы,Чекап Дети (базовый),"Кровь, моча","Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий.",3890,1
Чекапы,Ежегодный чекап,"Кровь, моча","Комплекс предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза.",5990,1
Чекапы,Расширенный чекап (совместно с PRO-Здоровье),"Кровь, кал","В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D, витамин В12, фолиевая кислота, гомоцистеин , гликированный гемоглобин, медь в крови, магний в крови, цинк в крови, антитела к candida IgG, копрограмма.",16900,9
Чекапы,Инсулинорезистентность,"Кровь с edta, сыворотка","Основная жалоба при нарушении чувствительности к инсулину - трудности с потерей веса и хроническая усталось при приступах голода. Однако инсулинорезистентность также повышает риск сердечно-сосудистых, онкологических и нейродегенеративных заболеваний. Рекомендуется проверять ежегодно.
В исследование входит: Гликированный гемоглобин А1с %, Инсулин. После получения результатов исследований доступна консультация специалиста по интерпретации результатов.",1490,1
Чекапы,Обмен железа,"Сыворотка, кровь","Нарушения обмена железа являются частой причиной при хронической усталости, быстрой утомляемости и раздражительности. Рекомендуется при отклонениях гема в общем анализе крови и при жалобах.
В иследование входит: Железо, Ферритин, Ретикулоциты, Трансферрин, Общая железосвязывающая способность (ОЖСС) + Индекс насыщения трансферрина. После получения результатов исследований доступна консультация специалиста по интерпретации результатов.",2190,1
Чекапы,Щитовидная железа,Кровь,"Заболевания щитовидной железы – частая причина набора веса, депрессивных и тревожных состояний, а также хронической усталости. Рекомендуется проверять ежегодно, а также при наличии жалоб.
В исследование входит: Тиреотропный гормон (ТТГ), Антитела к микросомальной тиреопероксидазе (АТ-ТПО), Антитела к тиреоглобулину (АТ к ТГ), Тироксин (Т4) свободный, Трийодтиронин (Т3) свободный. После получения результатов исследований доступна консультация специалиста по интерпретации результатов.",2690,1
Чекапы,Чекап Диетологический (базовый),Кровь,"Комплекс позволяет выполнить оценку организма, выявить наиболее частые причины повышения веса - нерациональное питание и нарушения функции щитовидной железы. Поможет в составлении рационального плана питания с учетом ваших особенностей. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, АЛТ, АСТ, глюкоза крови, железо в сыворотке, креатинин в сыворотке, скорость клубочковой фильтрации, общий белок, ферритин, витамин D, инсулин, тироксин общий (Т4),  тиреотропный гормон (ТТГ), липидограмма, билирубин и его фракции.",5490,1
Чекапы,Чекап При стрессе и тревожности,Кровь,"Комплекс позволяет проверить основные показатели организма, изменения в работе которых могут служить причиной хронического стресса, подавленного настроения, низкой трудоспособности. Такие как работа щитовидной железы, инфицированность вирусом Эпштейн-Барр, витаминный и липидный профиль. В комплекс входит: Витамин D, липидограмма, кальций общий, магний в крови, кортизол крови, тиреотропный гормон (ТТГ), ДГЭА-сульфат, антитела к ядерному антигену вируса Эпштейна-Барр, IgG
Антитела к раннему антигену вируса Эпштейна-Барр, IgG, антитела к капсидному антигену вируса Эпштейна-Барр, IgG, клинический анализ крови с лейкоцитарной формулой и СОЭ, С-реактивный белок.",6900,2
Чекапы,Чекап Женское здоровье,Кровь,"Комплексное обследование, предназначенное для оценки жалоб и скрининга наиболее актуальных для женщин состояний. Таких как изменение менструального цикла, бесплодие, рак молочной железы и яичников, инфекции передающиеся половым путем. В комплекс входит: Лютеонизирующий гормон (ЛГ), фолликулостимулирующий гормон (ФСГ), пролактин, эстрадиол, дигидротестостерон, кортизол крови, anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела, антиген CA 15-3, антиген СА 125.",5900,5
Чекапы,Базовый чекап (совместно с PRO-Здоровье),"Кровь, кал","В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D,  гомоцистеин , гликированный гемоглобин, медь в крови,  цинк в крови, копрограмма.",11900,5
Чекапы,Базовый чекап Алёны Шляпниковой,"Кровь, кал","В состав комплекса входит: общий анализ мочи, клинический анализ крови, биохимия крови, копрограмма.",2890,1
Чекапы,Ежегодный чекап + генетический тест Атлас,Кровь,"Чекап предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза. Генетический тест от Атлас определит предрасположенности и риски возникновения наследственных и многофакторных заболеваний.",16990,2
Чекапы,Комплексный чекап мужского здоровья от iTAB,Сыворотка,"ОАМ,
ОАК с СОЭ,
Билирубин общий,
Билирубин прямой,
Билирубин непрямой,
Липидный профиль,
Белок общий,
АЛТ,
АСТ,
Глюкоза,
Инсулин,
ТТГ,
Т4 св,
Т3 св,
АТ к ТПО,
АТ к ТГ,
Мочевина,
Креатинин,
мочевая кислота,
Витамин Д,
Гомоцистеин,
Железо,
Ферритин,
С-реактивный белок,
Антистрептолизин О,
Тестотерон общ,
Тестостерон свободный,
ГСПГ,
Пролактин,
ДГЭА-сульфат,
ПСА своб,
ПСА общий,
Электролиты,
копрограмма,
ГГТ,
альфа-амилаза,
АТ к ядерным антигенам (ANA) (кач.),
генетический тест от Атласа",29900,3
Чекапы,Персональный чекап Анны Батуевой,"Кровь, кал","В комплекс входит: Общий анализ крови, ЛПВП, ЛПНП, ЛПОНП, триглицериды, АЛТ, АСТ, билирубин прямой, билирубин непрямой, глюкоза, гликированный гемоглобин, инсулин, с-реактивный белок, белок общий, альбумин, креатинин, мочевина, мочевая кислота, щелочная фосфатаза, ГГТ, ТТГ, ферритин, копрограмма.",5900,1
Чекапы,Персональный чекап Анны Березиной,Кровь,"В комплекс входит: общий белок, ЛПВП, ЛПНП, триглицериды, глюкоза, инсулин, АЛТ, АСТ, витамин D, cывороточное железо, ферритин, клинический анализ крови с лейкоцитарной формулой и СОЭ, ТТГ, т4 свободный, кортизол, пролактин.",6900,1
Чекапы,Персональный чекап Виктории Волоховой,Кровь,"Чекап поможет проверить базовые показатели здоровья. В комплекс входит: клинический анализ крови, гомоцистеин, ферритин, железо, белок общий, мочевина, мочевая кислота, АЛТ, АСТ, глюкоза, инсулин, холестерин общий, ЛПВП, ЛПНП, триглицериды, билирубин общий, щелочная фосфатаза, ГГТ, ТТГ, Т3 свободный, Т4 свободный, витамин D.",8900,1
Чекапы,Персональный чекап Карины Хольц,"Кровь, моча","В комплекс входит: Клинический анализ крови, общий анализ мочи, Т3 свободный, Т4 свободный, анти ТПО, ГСПГ, гомоцистеин, АСТ, белок общий, билирубин прямой, билирубин общий, ГГТ, АЛТ, креатинин, мочевая кислота, мочевина, глюкоза, ферритин, витамин Д.",8900,3
Чекапы,Персональный чекап Карины Хольц со стероидным профилем в слюне,"Кровь, слюна","В состав комплекса входит: клинический анализ крови, общий анализ мочи, Т3 свободный, Т4 свободный, анти ТПО, ГСПГ, гомоцистеин, АСТ, белок общий, билирубин прямой, билирубин общий, ГГТ, АЛТ, креатинин, мочевая кислота, мочевина, глюкоза, ферритин, витамин Д, ТТГ, стероидный профиль в слюне.",15900,9
Чекапы,Половые гормоны,Сыворотка,"Синтез половых гормонов влияет на здоровье репродуктивной системы, а также общее самочувствие, выносливость при физических нагрузках, настроение и энергию. Комплекс рекомендован при планировании детей, занятий спортом и наличии жалоб на повышенную утомляемость или снижение стрессоустойчивости.
В исследование входит: ДГЭА-сульфат, Лютеинизирующий гормон, Фолликулостимулирующий гормон, Пролактин, Эстрадиол, Тестостерон общий. После получения результатов исследований доступна консультация специалиста по интерпретации результатов.",3190,1
Чекапы,Расширенный чекап Алёны Шляпниковой,"Кровь, кал","В состав комплекса входит: общий анализ мочи, клинический анализ крови, биохимия крови, копрограмма, белок общий, ферритин, IgE общий.",4190,1
Чекапы,Сердце и сосуды,"Сыворотка, кровь с цитратом","Оценка параметров свертываемости крови, рисков тромбообразования и сердечно-сосудистых заболеваний. Рекомендуется для ежегодного скрининга от 30 лет и при планировании занятий спортом.
В исследование входит: Гомоцистеин, АЧТВ, Тромбиновое время, Фибриноген. После получения результатов исследований доступна консультация специалиста по интерпретации результатов.",2490,1
Чекапы,Стоматологический чекап,Кровь,"Комплекс небходим при подготовке к запланированному хирургическому вмешательству в стоматологии. Исследования помогут оценить общее состояние организма, систему свертывания и состояние печени, а так же исследование на предпологаемое носительство вирусов гепатита В, С и ВИЧ. Данное обследование поможет врачу-специалисту сформировать план лечения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, anti-HCV, суммарные антитела; HBsAg; ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела; кальций ионизированный, глюкоза, билирубин общий, щелочная фосфатаза (ЩФ), АСТ, АЛТ, фибриноген, АЧТВ, МНО, протромбиновое время.",3590,1
Чекапы,Чекап COVID (совместно с PRO-Здоровье),"Кровь, кал","В комплекс входит: Общий анализ крови с лейкоцитарной формулой и СОЭ, общий белок, АСТ, АЛТ, билирубин общий, билирубин прямой, глюкоза, холестерин общий, ЛПНП, ЛПВП, индекс атерогенности, с-реактивный белок, ферритин, гомоцистеин , витамин В12, фолиевая кислота, медь в крови, магний в крови, цинк в крови, витамин D, копрограмма.",8900,1
Чекапы,Чекап Витамины и микроэлементы (совместно с Biocharge),Кровь,"В комплекс входит: Ферритин , литий, Li;, бор, B;магний, Mg; алюминий, Al; кремний, Si ;кальций, Ca; титан, Ti; хром, Cr; марганец, Mn;железо, Fe; кобальт, Co; никель, Ni; медь, Cu; цинк, Zn; мышьяк, As; селен, Se; молибден, Mo; кадмий, Cd; сурьма, Sb; ртуть, Hg;  свинец, Pb; витамин B9 (фолиевая кислота); витамин D: 25-OH D2 (25 - гидроксиэргокальциферол) / 25-ОН D3 (25 - гидроксихолекальциферол), витамин E (токоферол) в крови.",9900,7
Чекапы,Чекап Дети (расширенный),"Кровь, моча","Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий, антитела к аскаридам (Ascaris lumbricoides), IgG, антитела к антигенам лямблий (суммарные: IgA, IgG, IgM).",6190,2
